"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Covers the PDF Guide / E-workbook manual block by opening My workbook from Profile, verifying the upsell paywall, and closing it without purchasing.","16086","PDF guide upsell opens from My workbook","","2026-06-03","passed","2026-06-03","","tests.PdfGuideTests","tests.PdfGuideTests","testPdfGuideUpsellOpensFromMyWorkbook"
"","12881","testPassThroughWelcome","","2026-06-02","broken","2026-06-02","","tests.HW.GetStartedTest","tests.HW.GetStartedTest","testPassThroughWelcome"
"","5786","testChangeScreenOrientationOnSearchResult","","2026-06-02","broken","2026-06-02","","tests.HW.ChangeAppCondition","tests.HW.ChangeAppCondition","testChangeScreenOrientationOnSearchResult"
"Тест отправляет в чате дебажное сообщение и получает карточку daily survey","14","Интент /debug_questionnaire","","2021-03-03","broken","2021-03-03","","tests.ChatTests","tests.ChatTests","testChatInput9"
"Verifies Profile access from Today and Explore for an authorized existing-progress user.","79018","COA-8503 Profile can be opened from main tabs","","2026-06-03","passed","2026-06-03","","tests.CoachProfileTests","tests.CoachProfileTests","test02ProfileCanBeOpenedFromMainTabs"
"Verifies the app-level push notification prompt when it is present in the current launch configuration. The test skips cleanly if the one-time prompt is already consumed on the device.","3305","COA-3461 COA-7918 Notification prompt is shown and can be closed","","2026-06-03","skipped","2026-06-03","","tests.PushNotificationTests","tests.PushNotificationTests","testNotificationPromptCanBeClosed"
"Submits a valid non-progress email, verifies the OTP screen, then cancels back to the start screen without logging in.","14277","COA-7949 COA-7951 Valid email opens OTP screen and Cancel returns to start","","2026-06-03","passed","2026-06-03","","tests.CoachAuthorizationTests","tests.CoachAuthorizationTests","test03ValidEmailOpensOtpAndCancelReturnsToStart"
"Long-presses the first Daily Practice item, verifies customization actions, opens the Remove from Daily Plan confirmation, cancels it, and verifies the item remains.","32062","COA-8506 COA-8513 COA-8514 Daily Plan item remove action can be cancelled","","2026-06-04","skipped","2026-06-04","","tests.DailyPlanTests","tests.DailyPlanTests","test05DailyPlanRemoveActionCanBeCancelled"
"Verifies the mail form rejects an invalid email format before OTP is requested.","24618","COA-7950 Invalid email does not enable Continue","","2026-06-03","passed","2026-06-03","","tests.CoachAuthorizationTests","tests.CoachAuthorizationTests","test02InvalidEmailKeepsContinueDisabled"
"Verifies the Resend code action remains available after requesting an OTP for a valid non-progress email.","14160","COA-7952 Resend code is available on OTP screen","","2026-06-03","passed","2026-06-03","","tests.CoachAuthorizationTests","tests.CoachAuthorizationTests","test04ResendCodeOnOtpScreen"
